País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Ireland,IRL,372,2005,309910,279136
   Isle of Man*,IMN,833,2005,20214,21261
   Latvia,LVA,428,2005,154745,221980
   Lithuania,LTU,440,2005,94189,107020
   Norway*,NOR,578,2005,176444,184700
   Sweden,SWE,752,2005,538490,587300
   United Kingdom*,GBR,826,2005,2818177,3107979
   Albania,ALB,8,2005,32993,31746
   Andorra,AND,20,2005,26466,23832
   Bosnia and Herzegovina,BIH,70,2005,22481,24806
   Croatia,HRV,191,2005,271645,307628
   Gibraltar*,GIB,292,2005,4518,4693
   Greece,GRC,300,2005,587677,603030
   Holy See*,VAT,336,2005,381,417
   Italy,ITA,380,2005,1820290,2134500
   Malta,MLT,470,2005,11899,12661
   Montenegro,MNE,499,2005,0,0
   North Macedonia,MNP,807,2005,53220,74447
   Portugal,PRT,620,2005,376774,394410
   San Marino,SMR,674,2005,2302,1916
   Serbia*,SRB,688,2005,383088,471760
   Slovenia,SVN,705,2005,116741,100477
   Spain*,ESP,724,2005,2140680,1966546
   Austria,AUT,40,2005,538924,588240
   Belgium,BEL,56,2005,620924,627809
   France*,FRA,250,2005,3300859,3436741
   Germany,DEU,276,2005,4676178,4726269
   Liechtenstein,LIE,438,2005,9434,9464
   Luxembourg,LUX,442,2005,74951,75667
   Monaco,MCO,492,2005,10322,10990
   Netherlands*,NLD,528,2005,843444,892683
   Switzerland,CHE,756,2005,922387,883050
   Anguilla*,AIA,660,2005,2210,2474
   Antigua and Barbuda,ATG,28,2005,11052,13689
   Aruba*,ABW,533,2005,14559,17981
   Bahamas,BHS,44,2005,23613,21918
   Barbados,BRB,52,2005,13575,17049
"   Bonaire, Sint Eustatius and Saba*",BES,535,2005,0,0
   British Virgin Islands*,VGB,92,2005,7401,7615
   Cayman Islands*,CYM,136,2005,10515,10164
   Cuba,CUB,192,2005,5152,6541
   Curaçao*,CUW,531,2005,0,0
   Dominica,DMA,212,2005,2491,2253
   Dominican Republic,DOM,214,2005,227826,147591
   Grenada,GRD,308,2005,3424,3478
   Guadeloupe*,GLP,312,2005,41273,47792
   Haiti,HTI,332,2005,9093,7267
   Jamaica,JAM,388,2005,12248,12036
   Martinique*,MTQ,474,2005,25891,31143
   Montserrat*,MSR,500,2005,639,605
