,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
1341,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.704, -111.85818"
1342,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.3503337, 32.4374949"
1343,Europe,2016,1.0,1,,,1.0,,Northern Africa,Sudan,English Channel to the UK,"50.9518803, 1.8339367"
1344,Mediterranean,2016,1.0,1,,,1.0,1.0,Western / Southern Asia (P),Unknown,Eastern Mediterranean,"39.0971081, 26.5476933"
1345,Eastern Africa,2016,3.0,3,,,,,Eastern Africa,Comoros,,"-12.8209326, 45.0189863"
1346,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.20324, -112.95431"
1347,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.826717, -112.1373"
1348,Mediterranean,2016,,20,,2.0,,,Northern Africa,Unknown,Western Mediterranean,"36.8415268, -2.4746262"
1349,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1350,Mediterranean,2016,25.0,25,15.0,,,10.0,Western / Southern Asia (P),Unknown,Eastern Mediterranean,"37.34116394, 27.2372631797"
1351,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.38652, -113.10317"
1352,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.2651, -113.10296"
1353,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.15192, -113.069"
1354,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1355,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.0316722, 35.3417723"
1356,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"6.7349666, 39.7240219"
1357,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.285107, 31.5204557"
1358,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.376354, -98.3833477"
1359,Western Asia,2016,1.0,1,,,1.0,1.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.7188825, 39.4889524"
1360,Mediterranean,2016,5.0,7,9.0,,,3.0,Southern Asia,Afghanistan,Eastern Mediterranean,"39.4902085, 26.3932461"
1361,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"19.8937479, -99.4300048"
1362,Europe,2016,1.0,1,,,1.0,1.0,Northern Africa,Egypt,,"48.457552, 13.432637"
1363,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.681792, 36.623154"
1364,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"17.6922271, 33.9762492"
1365,Mediterranean,2016,1.0,1,,,,1.0,Northern Africa,Unknown,Western Mediterranean,"35.2862703, -2.9508781"
1366,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.7188825, 39.4889524"
1367,Western Asia,2016,1.0,1,,,,1.0,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.423746, 36.5744436"
1368,Central America,2016,1.0,1,,,1.0,,Central America,Honduras,,"19.4167798, -98.4471102"
1369,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"8.4066579, 48.4713577"
1370,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.6271309, 32.3006557"
1371,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"22.3901546, 31.5512116"
1372,Central America,2016,1.0,1,,,1.0,,Central America,Honduras,,"16.474502, -93.2534811"
1373,Europe,2016,3.0,3,23.0,1.0,2.0,,Southern Asia,Afghanistan,Western Balkans,"41.1347418, 22.5016282"
1374,Mediterranean,2016,,8,5.0,,,,Southern Asia,Pakistan,Eastern Mediterranean,"36.9107821, 27.2828523"
1375,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.7041479, -115.0616912"
1376,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"18.0267284, 33.9751766"
1377,Central America,2016,1.0,1,,1.0,,1.0,Latin America / Caribbean (P),Unknown,,"25.3813561, -100.7909834"
1378,Mediterranean,2016,3.0,3,750.0,,,,Unknown,Unknown,Central Mediterranean,"34.57199818, 13.4534525747"
1379,Mediterranean,2016,4.0,4,187.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.8005302, 12.5179707"
1380,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"10.4325373, 44.9946415"
1381,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"12.9944787, 36.1824054"
