,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
233,Western Asia,2014,27.0,38,6.0,4.0,,11.0,Southern Asia,Afghanistan,Syria to Türkiye,"41.2344374, 29.112145"
234,Mediterranean,2014,,4,5.0,,,1.0,Southern Asia,Afghanistan,Eastern Mediterranean,"39.279, 26.532"
235,Eastern Africa,2014,,30,,,,,Eastern Africa,Ethiopia,Horn of Africa to Yemen crossing,"12.36166, 43.52799"
236,Europe,2014,2.0,2,,,,,Unknown,Unknown,English Channel to the UK,"50.9966, 2.2574"
237,Mediterranean,2014,,6,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"36.3151, 12.9199"
238,Mediterranean,2014,,12,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"35.9246, 13.1616"
239,Europe,2014,4.0,4,,,4.0,,Southern Asia,Afghanistan,Western Balkans,"43.7871261, 22.3723774"
240,Europe,2014,1.0,1,,,1.0,,Eastern Africa (P),Unknown,English Channel to the UK,"50.8476, 2"
241,Mediterranean,2014,17.0,17,75.0,1.0,15.0,1.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.1618, 13.0737"
242,Mediterranean,2014,,23,28.0,,,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"36.3992, -2.38403"
243,Western Asia,2014,21.0,24,,,,,Eastern Africa,Ethiopia,Horn of Africa to Yemen crossing,"13.49112, 43.15973"
244,Europe,2014,1.0,1,,,1.0,,Northern Africa,Sudan,English Channel to the UK,"51.1208, 1.0437"
245,Caribbean,2014,,1,,,1.0,,Caribbean,Cuba,Caribbean to US,"23.6445, -80.2881"
246,Mediterranean,2014,9.0,9,21.0,,,3.0,Unknown,Unknown,Western Mediterranean,"35.8468, -5.80353"
247,Mediterranean,2014,5.0,5,,,1.0,,Unknown,Unknown,Central Mediterranean,"34.8138, 13.7109"
248,Mediterranean,2014,,30,,,,,Unknown,Unknown,Central Mediterranean,"34.3071, 16.6113"
249,Mediterranean,2014,,2,,,,,Western Asia,Syrian Arab Republic,Central Mediterranean,"39.9771, 19.0503"
250,Mediterranean,2014,,9,2.0,,,,Western Asia,Syrian Arab Republic,Eastern Mediterranean,"36.9993, 27.36418"
251,Northern Africa,2014,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"25.131133, 11.858396"
252,Mediterranean,2014,4.0,4,,,,,Unknown,Unknown,Central Mediterranean,"33.3482565, 11.109411"
253,South-eastern Asia,2014,,750,,,,250.0,South-eastern Asia,Unknown,,"14.60759586, 93.21449103"
254,Eastern Africa,2014,16.0,16,,,,,Unknown,,Horn of Africa to Yemen crossing,"9.1303782, 41.2808577"
255,North America,2014,111.0,111,,,,,Latin America / Caribbean (P),Mixed,US-Mexico border crossing,"29.53547, -103.40325"
256,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
257,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
258,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
259,North America,2014,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
260,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
261,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
262,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
263,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
264,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
265,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
266,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.11158, -112.70088"
267,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
268,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.363417, -109.9977"
269,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.7237, -111.4236"
270,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
271,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
272,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
273,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
274,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
275,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
276,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
277,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
278,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
279,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
280,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
281,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
282,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
283,North America,2014,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
284,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
285,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
286,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
287,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
288,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
289,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
290,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
291,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
292,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
293,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,
294,North America,2014,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.3087, -111.7528"
295,Mediterranean,2014,,6,20.0,,3.0,,Western Asia,"State of Palestine,Sudan",Eastern Mediterranean,"38.74477, 26.486067"
296,Eastern Africa,2015,1.0,1,1.0,,,,Eastern Africa,Ethiopia,,"11.886603, 41.998129"
297,Eastern Africa,2015,2.0,2,,,,,Eastern Africa,Somalia,,"11.9647465, 43.288407"
298,Western Asia,2015,1.0,1,,1.0,,,Eastern Africa (P),Unknown,,"13.5775886, 44.017799"
299,Western Asia,2015,1.0,1,,,1.0,,Eastern Africa (P),Unknown,,"13.5697, 44.0146"
300,South-eastern Asia,2015,3.0,3,,,1.0,,South-eastern Asia,Myanmar,,"8.111574, 98.448911"
301,Caribbean,2015,1.0,1,3.0,0.0,1.0,,Caribbean,Cuba,,"19.2696881, -81.392199"
302,Europe,2015,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,,"41.1689113, 21.528736"
303,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.82578, -112.151317"
304,Mediterranean,2015,5.0,5,16.0,,,,Unknown,Unknown,Western Mediterranean,"35.908983, -1.592287"
305,Eastern Africa,2015,2.0,2,2.0,,,,Eastern Africa,Zimbabwe,,"-23.6499447, 30.120909"
306,Europe,2015,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Western Balkans,"42.2065073, 21.201435"
307,North America,2015,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.00965, -112.58101"
308,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.501317, -111.45325"
309,South-eastern Asia,2015,1.0,1,97.0,1.0,,,South-eastern Asia,Myanmar,,"7.2502406, 100.338316"
310,South-eastern Asia,2015,2.0,2,,,,,South-eastern Asia,Myanmar,,"8.5822981, 99.22492"
311,South-eastern Asia,2015,6.0,6,5.0,2.0,,,Southern Asia,Cambodia,,"18.0013744, 101.082491"
312,Mediterranean,2015,9.0,45,27.0,,,,Unknown,Unknown,Central Mediterranean,"36.8103313, 27.271264"
313,Central America,2015,1.0,1,,,1.0,,Central America,Honduras,,"18.056331, -93.084468"
314,Mediterranean,2015,1.0,1,418.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.8859, 14.4141"
315,Central America,2015,1.0,1,,,1.0,,Central America,Honduras,,"17.983326, -92.916667"
316,Central America,2015,1.0,1,9.0,,1.0,1.0,Central America,El Salvador,,"17.875807, -93.151203"
317,Northern Africa,2015,12.0,12,,,,,Western Africa,Nigeria,Sahara Desert crossing,"32.581556, 13.178704"
318,Mediterranean,2015,1.0,21,86.0,,21.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"35.272947, -2.924594"
319,Northern Africa,2015,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Sahara Desert crossing,"20.7795755, 24.152626"
320,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.947183, -111.695567"
321,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.425, -111.6568"
322,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.776983, -111.879567"
323,Caribbean,2015,1.0,1,,1.0,,,Caribbean,Haiti,Haiti to Dominican Republic,"18.9251, -72.7247"
324,South-eastern Asia,2015,8.0,57,,,,,South-eastern Asia,Bangladesh,,"17.61569445, 93.010777"
325,Mediterranean,2015,8.0,10,10.0,,,,Western Africa,Guinea,Western Mediterranean,"35.286196, -2.958993"
326,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.396923, -110.952925"
327,Northern Africa,2015,1.0,1,,,,,Western Africa,Ghana,Sahara Desert crossing,"26.239989, 12.913084"
328,Northern Africa,2015,26.0,26,,,,,Unknown,Unknown,Sahara Desert crossing,"26.239989, 12.913084"
329,Northern Africa,2015,1.0,1,,,,,Unknown,Unknown,,"30.404114, 19.565918"
330,Western Asia,2015,3.0,3,,,,,Eastern Africa (P),Unknown,Horn of Africa to Yemen crossing,"14.88608382, 51.542532"
331,Western Asia,2015,3.0,36,13.0,,,1.0,Eastern Africa,"Ethiopia,Somalia",Horn of Africa to Yemen crossing,"12.9422264, 43.412688"
332,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.3747, -110.93133"
333,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.00882, -113.02657"
334,Mediterranean,2015,7.0,9,6.0,,,,Western / Southern Asia,"Iran (Islamic Republic of),Iraq",Eastern Mediterranean,"34.579, 12.4365"
335,Mediterranean,2015,29.0,29,76.0,,29.0,,Western Africa,"Côte d'Ivoire,Guinea,Mali,Mauritania,Senegal",Central Mediterranean,"34.3797, 12.8101"
336,Mediterranean,2015,,307,9.0,,,,Western Africa,"Côte d'Ivoire,Gambia,Guinea,Mali,Mauritania,Niger,Senegal",Central Mediterranean,"34.3616, 12.9858"
337,Europe,2015,1.0,1,,,1.0,,Eastern Africa,Ethiopia,English Channel to the UK,"50.9513, 1.85869"
338,North America,2015,1.0,1,,,,,Central America,El Salvador,US-Mexico border crossing,"27.87871582, -99.142943"
339,North America,2015,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.16755, -113.00183"
340,North America,2015,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.9336, -112.136067"
341,North America,2015,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.933033, -112.135833"
342,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.069633, -112.996983"
343,Central America,2015,1.0,1,,,1.0,,Central America,Honduras,,"14.633328, -92.133327"
344,Eastern Asia,2015,0.0,15,4.0,,,,Eastern Asia (P),Unknown,,"22.198745, 113.543873"
345,Northern Africa,2015,5.0,5,,,,,Unknown,Unknown,,"32.82678851, 13.418913"
346,North America,2015,6.0,6,,1.0,4.0,,Latin America / Caribbean (P),"El Salvador,Guatemala,Mexico,Unknown",US-Mexico border crossing,"29.7110679, -101.569381"
347,Mediterranean,2015,10.0,50,,,,,Unknown,"Eritrea,Sudan,Unknown",Central Mediterranean,"36.0313, 13.3594"
348,Caribbean,2015,1.0,1,,1.0,,,Caribbean,Haiti,Haiti to Dominican Republic,"18.7862266, -71.64685"
349,Central America,2015,1.0,1,,,1.0,,Central America,Honduras,,"17.480292, -91.720399"
350,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.04993, -112.70361"
351,Western Africa,2015,,25,,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"20.94764809, -17.087039"
352,Central America,2015,1.0,1,,,1.0,,South America,Ecuador,,"19.682152, -101.169727"
353,Central America,2015,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"27.623664, -99.634315"
354,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.7467054, -115.66726"
355,Northern Africa,2015,4.0,4,30.0,,,,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"28.585093, -11.623172"
356,Western Asia,2015,42.0,42,30.0,,,,Eastern Africa (P),Unknown,Horn of Africa to Yemen crossing,"13.6467, 48.38535"
357,Central America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"17.4987, -91.9804"
358,Western Asia,2015,2.0,2,,,2.0,,Western Asia,Iraq,Türkiye-Europe land route,"41.79227, 26.437847"
359,Northern Africa,2015,4.0,12,18.0,,,1.0,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"28.705091, -11.865128"
360,Central America,2015,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.3356884, -100.391984"
361,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.38205, -112.00476"
362,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.93395, -112.022917"
363,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.6684842, -115.505437"
364,Mediterranean,2015,5.0,8,8.0,,,,Western Asia,"Iraq,Syrian Arab Republic",Eastern Mediterranean,"37.020073, 27.401316"
365,Central America,2015,9.0,9,,,9.0,,Central America,Guatemala,,"23.9184477, -99.007484"
366,Central America,2015,6.0,6,269.0,,,,Latin America / Caribbean (P),"Honduras,Unknown",,"17.9477122, -93.680034"
367,Mediterranean,2015,3.0,3,84.0,,,,Sub-Saharan Africa (P),"Nigeria,Unknown",Central Mediterranean,"33.5041035, 11.088149"
368,North America,2015,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.873889, -111.810278"
369,North America,2015,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.123971, -110.871356"
370,Central America,2015,1.0,1,,,1.0,,Caribbean,Dominican Republic,,"23.692761, -100.625276"
371,Northern Africa,2015,4.0,4,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"28.9493768, 17.285764"
372,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.80132, -110.95279"
373,Western Africa,2015,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"19.075158, 8.024068"
374,Northern Africa,2015,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"26.239989, 12.913084"
375,Northern Africa,2015,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"26.239989, 12.913084"
376,Northern Africa,2015,1.0,1,,,,,Unknown,Unknown,,"32.849232, 13.1648"
377,Northern Africa,2015,2.0,2,,,,,Unknown,Unknown,,"32.875003, 13.214771"
378,South-eastern Asia,2015,,243,,,,,South-eastern Asia,Myanmar,,"17.64473, 92.46209"
379,South-eastern Asia,2015,,130,,,,,South-eastern Asia,Myanmar,,"13.498141, 89.487406"
380,Eastern Africa,2015,1.0,1,,,,,Eastern Africa (P),Unknown,,"-6.744507, 39.314697"
381,Eastern Africa,2015,2.0,2,,,,,Eastern Africa (P),Unknown,,"-25.899597, 32.609314"
382,Caribbean,2015,1.0,1,10.0,,1.0,,Caribbean,"Cuba,Dominican Republic",Dominican Republic to Puerto Rico,"18.0875678, -67.929464"
383,North America,2015,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.5815, -111.77556"
384,Mediterranean,2015,7.0,11,9.0,,,,Western / Southern Asia,"Iran (Islamic Republic of),Syrian Arab Republic",Eastern Mediterranean,"37.4667, 26.9667"
385,Eastern Africa,2015,4.0,4,,,,,Eastern Africa (P),Unknown,,"-17.833191, 31.032288"
386,Caribbean,2015,21.0,40,12.0,6.0,11.0,,Caribbean,Haiti,,"19.8017484, -72.286631"
387,Mediterranean,2015,2.0,2,129.0,1.0,1.0,,Eastern Africa,"Eritrea,Somalia",Central Mediterranean,"31.1063198, 30.941975"
388,Mediterranean,2015,1.0,1,,,,,Unknown,Unknown,Central Mediterranean,"34.2345, 14.7437"
389,Caribbean,2015,,3,,1.0,2.0,,Caribbean,Costa Rica,,"25.14497061, -77.698404"
390,North America,2015,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.85521, -112.17821"
391,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.81461, -111.85829"
392,Mediterranean,2015,9.0,400,144.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"36.1734, 17.572607"
393,Eastern Africa,2015,1.0,1,,,,,Eastern Africa (P),Unknown,,"-22.1876758, 29.926539"
394,Central America,2015,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"26.0379097, -98.086004"
395,Central America,2015,1.0,3,,2.0,1.0,,Central America,Mexico,US-Mexico border crossing,"27.469219, -99.549636"
396,Mediterranean,2015,,12,15.0,,,,Western Africa,"Ghana,Niger",Central Mediterranean,"35.7465, 14.4141"
397,Mediterranean,2015,,41,4.0,,41.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.8859, 14.4141"
398,Eastern Africa,2015,1.0,1,,,,,Eastern Africa (P),Unknown,,"9.915894, 44.647095"
399,Mediterranean,2015,1.0,1,70.0,1.0,,,Eastern Africa,"Eritrea,Somalia",Central Mediterranean,"35.7465, 14.4141"
400,Central America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"26.213257, -100.156984"
401,Mediterranean,2015,750.0,1022,28.0,,,,Mixed,"Algeria,Bangladesh,Côte d'Ivoire,Egypt,Eritrea,Gambia,Ghana,Guinea,Mali,Niger,Sierra Leone,Somalia,Sudan,Syrian Arab Republic,Tunisia,Zambia",Central Mediterranean,"35.03, 14.6777"
402,Eastern Africa,2015,1.0,1,,,,,Eastern Africa (P),Unknown,,"17.701111, 38.369873"
403,Mediterranean,2015,3.0,3,88.0,1.0,2.0,1.0,Eastern Africa,"Eritrea,Syrian Arab Republic",Eastern Mediterranean,"33.7123, 11.4474"
404,Central America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.4688428, -99.557493"
405,Central America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"20.538573, -101.455532"
406,Mediterranean,2015,1.0,1,,,1.0,,Southern Asia,Afghanistan,Central Mediterranean,"41.15024178, 17.421188"
407,South-eastern Asia,2015,5.0,5,8.0,2.0,1.0,2.0,Southern Asia,Cambodia,,"13.1733676, 100.919564"
408,Europe,2015,14.0,14,36.0,,,,Mixed,Unknown,Western Balkans,"41.7164563, 21.772297"
409,North America,2015,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.849017, -112.64445"
410,North America,2015,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.8216, -112.41698"
411,Europe,2015,1.0,1,,,1.0,,Southern Asia,Afghanistan,Western Balkans,"41.9973462, 21.427996"
412,North America,2015,1.0,1,,1.0,,,Central America,Mexico,US-Mexico border crossing,"25.9590963, -97.296038"
413,South-eastern Asia,2015,7.0,7,9.0,,,,Southern Asia,Cambodia,,"13.1285787, 101.3658"
414,Western Africa,2015,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"19.075158, 8.024068"
415,Northern Africa,2015,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"26.239989, 12.913084"
416,Northern Africa,2015,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"26.239989, 12.913084"
417,Northern Africa,2015,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"26.239989, 12.913084"
